soil_temperature,soil_moisture,conductivity,ph,nitrogen,phosphorus,potassium,salt,air_temperature,air_humidity,is_raining,crop_label
21.7,56.8,950,5.58,63,44,41,591,24.2,83.7,True,rice
18.4,59.9,1106,6.43,62,42,36,697,22.8,82.1,True,rice
22.4,54.1,1033,5.53,64,45,43,654,25.6,83.5,True,rice
22.1,55.4,1059,6.9,83,60,36,637,25.6,80.1,True,rice
18.2,63.3,1032,6.27,82,40,40,678,23.8,84.8,True,rice
22.1,63.1,1134,7.22,85,52,45,716,26.3,82.4,True,rice
22.0,48.4,1041,6.13,91,35,38,697,24.9,80.5,True,rice
20.8,58.4,1103,5.21,76,49,42,696,25.0,84.5,True,rice
20.4,58.3,1073,7.78,74,39,38,721,23.2,84.6,True,rice
17.8,55.8,1067,7.06,79,43,39,697,21.7,80.7,True,rice
21.3,62.1,1198,7.73,88,55,45,731,24.6,80.4,True,rice
19.4,50.4,975,5.29,60,36,43,662,23.4,83.1,True,rice
15.9,49.2,996,6.77,76,60,39,630,20.0,80.3,True,rice
20.0,54.0,1112,7.38,93,56,42,721,23.9,82.2,True,rice
17.7,60.1,1015,5.66,65,60,43,666,22.0,81.9,True,rice
22.9,61.8,1126,5.54,95,52,36,709,26.2,83.8,True,rice
17.9,67.5,1108,6.22,75,38,39,742,23.4,84.8,True,rice
19.3,51.6,1056,7.12,74,54,38,635,25.7,83.5,True,rice
19.9,62.3,1150,5.95,91,36,45,723,24.4,82.5,True,rice
16.3,45.6,994,7.24,71,46,40,632,20.3,82.1,True,rice
18.4,60.7,1101,6.5,99,55,35,740,21.7,80.2,True,rice
16.2,59.2,1047,7.59,72,40,38,672,20.4,82.2,True,rice
22.1,57.8,1174,5.88,83,58,45,724,25.8,83.5,True,rice
16.4,64.5,1116,6.93,93,58,38,753,20.6,83.8,True,rice
17.3,52.8,957,6.95,70,36,42,598,21.8,80.7,True,rice
15.7,61.1,1018,5.74,76,47,42,632,20.1,83.3,True,rice
21.3,54.4,1114,6.74,99,41,36,702,24.5,82.7,True,rice
18.3,53.0,1087,5.59,99,54,37,691,21.1,80.3,True,rice
23.2,64.2,1177,6.95,86,59,35,733,25.8,82.1,True,rice
19.2,58.5,999,5.01,69,46,41,658,23.6,80.3,True,rice
19.8,61.5,1181,6.36,91,56,37,788,23.4,80.6,True,rice
20.6,55.8,1068,6.88,61,52,41,690,25.0,83.9,True,rice
17.8,60.7,931,7.3,67,45,38,609,22.7,82.2,True,rice
20.4,57.8,988,6.59,79,42,37,621,24.9,82.8,True,rice
16.6,54.4,1013,7.28,78,43,42,654,21.3,83.0,True,rice
23.2,54.1,1036,7.02,75,54,36,671,26.3,84.6,True,rice
18.7,61.7,1106,6.94,97,36,45,695,22.2,81.9,True,rice
24.1,63.0,1122,7.87,67,47,44,686,26.7,81.8,True,rice
20.6,54.1,829,5.01,73,35,38,560,24.9,82.0,True,rice
23.3,52.1,1028,6.14,77,36,37,658,26.9,81.5,True,rice
18.2,52.9,975,7.52,81,41,38,630,22.7,83.7,True,rice
23.8,50.5,1058,5.71,68,57,43,653,26.1,80.4,True,rice
21.9,56.5,1065,5.76,72,45,35,709,25.4,82.9,True,rice
23.5,52.2,1055,6.35,61,53,43,683,26.4,81.1,True,rice
22.6,47.6,880,6.0,67,43,39,575,26.0,85.0,True,rice
22.2,48.6,988,5.45,67,58,39,623,25.3,80.5,True,rice
17.3,61.1,945,6.37,66,60,38,610,22.1,83.5,True,rice
18.3,57.2,1096,5.11,82,43,38,683,23.3,81.4,True,rice
22.1,51.2,995,5.94,84,50,44,587,25.5,81.4,True,rice
20.7,59.9,1109,5.18,81,53,42,742,23.7,81.0,True,rice
16.0,58.0,1095,6.46,91,50,40,720,20.8,84.1,True,rice
24.3,64.4,1204,7.07,93,53,38,758,26.9,81.9,True,rice
19.6,57.3,1093,7.47,90,44,38,739,23.8,83.9,True,rice
23.2,52.1,1078,6.16,81,45,35,678,26.5,80.1,True,rice
21.3,55.5,1022,7.55,78,40,38,673,26.5,83.9,True,rice
19.6,58.5,1052,6.03,60,51,36,689,22.7,82.8,True,rice
19.0,45.1,915,6.6,88,46,42,601,22.7,83.5,True,rice
17.7,60.6,1192,6.5,93,47,37,776,21.5,82.1,True,rice
17.5,62.1,1033,5.94,60,55,45,678,21.4,83.3,True,rice
22.2,55.7,1065,7.07,78,35,44,691,26.5,84.7,True,rice
19.5,52.5,956,5.33,65,37,40,575,23.4,83.6,True,rice
17.9,45.3,885,5.75,71,54,16,583,22.6,63.7,False,maize
23.3,41.6,843,6.93,61,44,17,585,26.1,71.6,True,maize
20.2,39.4,831,6.66,80,43,16,518,23.6,71.6,False,maize
16.3,37.2,829,6.6,73,58,21,509,20.0,57.7,False,maize
14.4,39.1,708,5.97,61,38,20,461,18.5,62.7,False,maize
18.6,40.6,785,6.16,68,41,16,457,21.8,57.8,True,maize
21.5,43.5,857,6.05,93,41,17,567,25.6,66.5,True,maize
20.8,37.8,1037,5.91,89,60,19,665,25.2,66.7,False,maize
16.7,41.3,747,5.86,76,44,17,483,20.4,62.6,False,maize
21.6,42.1,906,5.75,67,60,25,566,24.9,66.8,True,maize
19.1,47.2,847,5.85,70,44,19,513,23.3,73.5,False,maize
22.6,42.2,917,6.47,90,49,21,576,24.8,68.4,False,maize
22.1,41.8,795,6.97,62,52,16,523,22.3,58.8,False,maize
16.0,40.8,872,6.08,92,44,16,563,18.9,65.8,False,maize
21.7,36.6,927,5.92,66,54,21,605,25.2,60.2,False,maize
15.7,37.3,850,6.2,63,58,22,514,18.3,55.3,False,maize
23.4,48.6,898,6.6,70,47,17,550,24.6,70.4,True,maize
22.0,42.0,785,6.02,61,41,17,497,25.1,65.3,False,maize
19.7,38.2,805,6.03,66,53,19,495,23.1,60.1,False,maize
16.6,38.7,917,6.29,74,55,19,583,18.1,62.9,False,maize
21.9,39.1,886,6.55,77,57,21,531,24.9,73.8,False,maize
15.1,37.2,850,5.57,99,50,15,500,18.1,71.1,False,maize
15.8,44.3,867,6.83,74,56,22,598,18.3,66.7,False,maize
17.5,46.9,925,5.72,83,45,21,590,18.8,58.8,False,maize
22.5,39.2,948,5.55,100,48,16,648,25.7,67.2,False,maize
22.3,40.2,817,6.59,79,51,16,560,25.3,68.5,True,maize
19.6,41.2,860,5.89,94,39,18,543,23.9,57.5,True,maize
18.4,42.4,853,5.92,75,49,15,565,21.5,71.5,True,maize
20.0,26.6,738,5.59,78,48,22,476,23.1,63.1,False,maize
22.0,41.5,979,6.58,87,54,20,627,25.6,63.5,True,maize
19.4,39.3,853,6.18,87,35,25,544,21.4,63.2,False,maize
16.3,39.9,811,6.64,63,43,19,513,18.5,55.5,False,maize
20.8,38.8,944,6.49,84,57,25,584,22.5,68.0,False,maize
19.2,37.4,799,5.68,64,35,23,523,23.0,61.9,False,maize
21.6,44.4,862,6.63,60,46,22,563,24.9,65.6,False,maize
21.8,45.1,913,6.52,98,44,21,615,25.8,74.1,True,maize
16.4,38.1,837,5.7,75,56,18,557,19.4,62.4,False,maize
18.4,46.2,954,6.8,86,55,21,619,21.5,59.6,True,maize
21.3,42.6,851,6.25,98,35,18,543,23.8,74.8,False,maize
15.4,45.1,953,6.09,76,57,18,636,19.0,74.5,False,maize
21.9,37.1,954,6.23,99,56,17,602,24.1,73.1,False,maize
20.0,40.1,937,5.72,60,44,23,609,24.8,70.0,False,maize
18.0,34.5,862,6.43,74,48,17,531,21.6,60.3,False,maize
23.0,40.7,921,5.98,89,60,17,569,25.4,57.2,True,maize
18.6,48.1,874,6.8,69,51,23,550,22.2,72.9,True,maize
17.2,38.6,878,6.5,96,46,22,589,20.6,69.0,False,maize
21.9,44.0,808,6.27,61,60,15,516,24.9,68.7,False,maize
17.4,41.0,931,6.73,74,58,18,629,20.0,56.4,True,maize
22.3,39.5,724,6.33,74,43,23,446,26.0,61.9,True,maize
16.6,37.5,797,6.81,63,43,17,522,19.3,65.5,False,maize
17.3,38.0,820,6.67,99,36,20,520,20.6,65.3,False,maize
18.6,35.5,807,6.65,77,36,23,525,24.7,56.7,False,maize
17.2,37.5,940,6.44,87,60,23,611,20.3,63.9,False,maize
14.3,40.6,694,6.47,60,38,17,483,18.4,64.2,False,maize
21.4,43.9,999,5.87,94,54,17,622,23.4,61.7,True,maize
14.9,38.0,820,5.73,95,38,22,524,19.8,61.2,True,maize
19.3,41.2,856,5.85,84,44,21,530,21.9,61.9,True,maize
19.9,36.2,782,5.79,77,58,19,513,22.8,56.5,True,maize
15.8,37.4,846,6.74,66,44,20,552,19.1,69.0,False,maize
17.3,40.5,735,6.27,63,35,16,470,22.0,65.4,False,maize
20.8,37.6,886,5.72,79,45,20,590,23.8,59.2,False,maize
14.6,42.8,877,5.77,72,60,25,589,18.5,69.0,False,maize
19.3,41.0,869,5.58,67,51,24,520,23.5,61.3,False,maize
22.4,35.7,916,5.79,86,36,24,545,26.5,72.9,False,maize
16.4,41.5,932,5.78,76,48,18,614,19.3,69.6,False,maize
17.8,45.0,927,6.86,75,53,18,627,20.7,59.4,True,maize
16.5,37.5,780,6.19,81,45,23,529,19.3,68.0,False,maize
22.9,44.7,793,6.64,73,45,21,480,24.6,73.6,True,maize
18.4,38.6,748,5.83,71,35,24,468,22.3,59.5,False,maize
22.1,39.3,921,6.96,96,54,22,587,25.7,61.3,False,maize
18.0,39.3,869,6.11,99,39,18,521,19.2,68.3,False,maize
18.8,42.7,890,6.71,62,48,20,577,21.7,60.5,True,maize
16.5,39.7,792,5.56,86,37,16,506,20.5,59.2,False,maize
21.2,43.9,950,5.87,94,50,19,604,23.3,73.6,True,maize
21.7,32.8,861,7.0,76,39,24,545,24.3,55.6,False,maize
21.0,46.2,926,5.71,77,52,17,554,24.9,65.7,False,maize
19.3,36.0,805,6.78,74,39,23,541,22.6,65.8,False,maize
17.1,41.7,934,5.51,81,49,20,611,18.0,60.6,True,maize
20.6,42.1,705,5.8,63,42,21,465,23.3,72.3,False,maize
19.3,34.0,817,6.35,99,38,21,536,22.9,71.6,False,maize
22.5,37.0,969,6.82,90,52,25,612,26.0,69.4,True,maize
23.1,41.6,885,6.66,68,40,19,572,26.1,66.2,True,maize
15.7,37.8,943,6.12,60,57,24,645,18.7,61.6,False,maize
21.6,30.9,872,5.79,71,52,18,581,25.1,56.0,False,maize
20.9,44.2,953,6.47,61,59,17,591,23.3,59.2,True,maize
22.5,35.6,810,6.46,88,38,15,538,25.1,65.9,False,maize
21.2,46.0,840,6.61,65,60,22,568,25.4,72.5,True,maize
22.5,38.2,832,6.33,78,37,22,534,25.3,63.3,False,maize
22.6,39.9,909,6.53,78,58,15,598,25.0,67.8,False,maize
15.8,36.5,1017,5.72,92,60,23,640,18.7,71.5,False,maize
16.8,43.1,949,6.64,79,59,17,611,20.4,63.7,True,maize
14.5,39.1,943,6.38,91,55,15,566,18.1,72.6,False,maize
21.9,39.3,918,6.25,76,51,18,613,26.2,72.0,False,maize
13.9,41.4,1012,6.66,87,48,25,639,18.7,61.4,False,maize
23.2,37.5,851,6.2,71,60,22,542,26.1,59.4,False,maize
16.4,33.6,811,6.16,90,57,24,485,18.9,72.8,False,maize
18.7,39.2,861,6.39,67,35,22,553,23.3,63.2,True,maize
17.1,41.1,866,6.42,60,54,19,548,18.7,62.5,False,maize
17.3,35.8,865,6.38,83,58,23,560,19.7,59.7,False,maize
22.5,44.8,995,6.88,83,57,19,662,25.7,70.7,True,maize
15.8,38.6,909,7.49,40,72,77,557,17.0,17.0,False,chickpea
15.6,37.2,974,6.92,23,72,84,620,19.0,17.1,False,chickpea
15.9,36.1,926,6.0,39,58,85,616,17.9,15.4,False,chickpea
16.9,37.3,831,6.39,22,72,85,531,18.9,15.7,False,chickpea
14.9,36.2,903,7.15,36,67,77,580,18.4,19.6,False,chickpea
17.8,33.3,891,5.99,32,73,81,611,20.5,15.4,False,chickpea
17.1,32.2,968,6.23,58,70,84,620,20.7,16.6,False,chickpea
14.0,33.1,1015,7.55,59,70,84,645,17.3,18.7,False,chickpea
16.2,38.5,1009,7.01,42,62,75,663,18.2,18.9,False,chickpea
13.3,32.8,837,8.75,28,74,81,526,18.0,18.3,False,chickpea
17.0,39.0,1003,8.72,58,66,79,623,21.0,19.3,False,chickpea
17.5,34.5,966,7.98,43,66,79,623,19.5,15.2,False,chickpea
17.9,35.5,1017,6.52,58,63,81,648,19.8,14.7,False,chickpea
14.6,32.9,878,8.49,23,62,85,559,19.0,19.5,False,chickpea
14.0,38.2,986,6.58,27,62,77,629,18.2,14.7,False,chickpea
14.1,35.1,902,6.48,28,72,84,611,18.7,19.2,False,chickpea
17.4,34.4,996,7.97,50,56,76,634,21.0,19.9,False,chickpea
18.1,35.3,948,8.14,39,71,84,626,20.3,16.4,False,chickpea
15.1,34.4,924,7.23,25,78,76,575,17.5,15.8,False,chickpea
19.4,33.1,878,6.49,31,70,77,545,20.9,14.3,False,chickpea
14.1,37.4,931,7.53,26,80,83,596,17.1,16.1,False,chickpea
17.3,36.7,902,7.7,25,68,77,592,20.1,15.1,False,chickpea
16.8,39.8,1007,8.52,31,78,76,641,17.6,15.0,False,chickpea
14.9,37.3,1066,6.62,60,68,83,725,19.1,18.4,False,chickpea
15.4,32.7,877,8.1,59,62,83,570,18.6,19.2,False,chickpea
14.4,37.4,984,6.2,22,67,78,608,17.2,14.4,False,chickpea
17.0,34.2,999,6.05,36,65,80,633,18.3,16.7,False,chickpea
15.2,35.6,1016,7.69,59,60,84,648,19.0,18.7,False,chickpea
14.0,32.6,1047,7.83,54,77,85,670,17.1,17.1,False,chickpea
15.0,35.6,947,6.76,43,68,81,641,17.5,17.9,False,chickpea
17.9,35.4,903,6.65,28,76,82,599,20.6,14.3,False,chickpea
15.3,40.1,996,6.13,42,79,85,625,17.2,15.8,False,chickpea
18.0,38.3,1009,8.83,32,60,83,683,19.7,19.4,False,chickpea
14.8,37.5,941,8.62,22,78,76,599,17.8,19.1,False,chickpea
15.8,35.1,984,8.2,31,79,75,606,18.8,16.1,False,chickpea
14.3,35.2,815,6.18,28,58,81,505,17.5,16.5,False,chickpea
15.7,36.3,908,7.98,57,58,77,556,18.7,17.6,False,chickpea
14.6,35.0,895,7.86,49,55,78,642,18.7,16.2,False,chickpea
15.9,33.7,998,6.97,46,76,77,637,18.2,19.7,False,chickpea
16.1,32.5,967,6.21,54,61,77,610,18.8,15.2,False,chickpea
15.0,35.2,884,8.87,38,60,76,547,18.7,17.8,False,chickpea
16.9,38.4,919,8.77,59,55,79,598,20.4,16.9,False,chickpea
13.6,37.7,972,8.74,36,76,75,638,18.4,16.6,False,chickpea
13.5,35.1,966,8.08,57,68,81,626,17.2,17.3,False,chickpea
17.8,33.0,929,6.14,35,66,81,586,19.4,15.8,False,chickpea
14.5,34.6,894,7.5,35,64,78,584,17.9,14.3,False,chickpea
18.3,37.8,1048,8.38,52,60,79,688,19.5,18.2,False,chickpea
15.7,40.2,949,6.29,27,76,83,605,19.1,14.9,False,chickpea
14.2,39.1,1024,6.59,57,60,84,682,19.1,17.3,False,chickpea
14.6,37.0,989,6.9,52,68,78,627,17.5,17.0,False,chickpea
18.8,32.0,917,7.81,43,79,79,592,19.4,19.0,False,chickpea
17.7,32.2,969,7.15,44,74,85,643,20.2,19.6,False,chickpea
13.4,37.5,921,6.65,24,55,78,592,17.3,15.2,False,chickpea
13.8,38.5,925,7.78,29,77,75,588,17.5,15.5,False,chickpea
15.2,37.9,831,6.36,20,60,78,520,18.2,14.7,False,chickpea
13.4,35.6,1015,8.26,56,67,78,685,17.6,16.7,False,chickpea
16.7,33.7,965,6.46,37,66,85,599,20.9,18.9,False,chickpea
17.3,33.4,996,6.61,49,71,76,633,19.7,17.6,False,chickpea
15.5,32.6,1067,8.17,59,69,80,696,19.1,17.9,False,chickpea
15.6,39.0,956,7.65,20,79,77,587,18.5,16.0,False,chickpea
13.3,40.8,946,6.55,24,56,85,599,18.2,17.4,False,chickpea
14.2,34.5,968,7.1,51,72,75,651,18.9,15.0,False,chickpea
16.7,31.8,1045,7.36,57,73,85,665,18.5,14.7,False,chickpea
15.7,37.1,848,6.47,22,64,82,588,19.5,17.2,False,chickpea
15.4,39.8,1014,7.84,52,73,79,648,17.3,18.7,False,chickpea
16.4,42.6,966,7.06,29,75,75,638,19.6,18.7,False,chickpea
17.2,36.1,912,7.6,44,59,78,584,20.7,19.9,False,chickpea
17.6,35.1,1049,6.72,41,69,82,685,20.0,16.6,False,chickpea
15.0,42.0,1050,6.82,52,56,85,651,20.1,14.4,False,chickpea
18.8,30.9,793,7.99,34,76,80,479,20.7,15.8,False,chickpea
18.2,36.3,1035,7.55,42,74,83,639,19.3,14.3,False,chickpea
14.2,34.2,878,7.73,34,71,79,557,17.9,15.9,False,chickpea
16.2,33.2,940,7.35,27,73,79,605,19.2,15.8,False,chickpea
17.1,27.4,776,7.31,30,70,79,521,20.3,20.0,False,chickpea
12.9,41.4,1054,7.79,57,57,75,636,17.1,18.3,False,chickpea
15.0,34.5,911,6.31,27,79,82,578,17.1,17.5,False,chickpea
17.2,31.8,964,6.4,32,71,85,615,20.6,14.4,False,chickpea
18.2,34.4,979,7.6,31,76,82,613,20.8,17.9,False,chickpea
17.2,35.6,1019,7.22,33,75,84,655,19.5,18.7,False,chickpea
15.3,33.6,926,7.56,47,80,77,594,17.2,16.4,False,chickpea
12.8,36.7,1064,7.49,54,62,80,681,17.5,16.4,False,chickpea
13.6,34.2,876,6.61,47,79,78,543,17.5,14.8,False,chickpea
17.7,32.3,871,7.48,35,57,83,548,19.5,17.4,False,chickpea
16.6,36.4,994,7.33,53,73,77,620,19.7,18.1,False,chickpea
17.5,35.6,940,6.49,45,61,78,603,19.5,16.1,False,chickpea
16.6,32.5,893,7.79,37,78,79,569,20.0,14.8,False,chickpea
15.3,33.5,936,6.41,30,75,81,647,19.4,16.8,False,chickpea
15.7,26.7,886,8.42,37,55,82,558,19.5,18.0,False,chickpea
17.0,38.8,1084,8.72,53,65,76,706,20.2,16.4,False,chickpea
13.5,35.7,827,7.81,22,60,85,505,18.8,14.7,False,chickpea
16.6,36.4,955,6.32,60,61,78,612,20.7,19.8,False,chickpea
15.3,32.7,927,7.11,42,67,77,572,19.0,15.9,False,chickpea
17.2,33.1,944,8.14,39,76,76,586,20.0,15.6,False,chickpea
13.2,38.8,940,7.71,35,63,76,610,17.8,17.6,False,chickpea
18.7,36.9,825,7.1,30,65,82,490,20.7,15.3,False,chickpea
15.0,29.5,917,8.86,57,56,78,582,17.3,18.8,False,chickpea
14.2,33.1,905,7.86,48,65,78,569,17.4,14.3,False,chickpea
16.5,29.0,871,7.45,36,56,83,552,18.9,19.8,False,chickpea
14.5,35.4,914,7.17,40,58,75,623,18.6,14.8,False,chickpea
16.7,35.0,1027,7.26,49,69,82,656,18.3,15.4,False,chickpea
14.0,39.2,704,5.69,13,60,25,428,17.1,20.6,True,kidneybeans
16.4,34.6,765,5.76,25,70,16,526,19.6,18.9,True,kidneybeans
18.1,39.5,766,5.87,31,55,22,474,22.9,21.3,True,kidneybeans
13.4,46.8,745,5.93,40,64,16,501,16.4,24.2,True,kidneybeans
18.3,39.7,721,5.96,2,61,20,460,22.1,23.0,False,kidneybeans
13.7,40.1,843,5.95,26,65,22,558,17.8,18.8,True,kidneybeans
16.9,33.1,714,5.79,17,57,21,496,19.9,20.3,False,kidneybeans
15.5,33.1,762,5.58,26,80,18,501,19.3,23.3,True,kidneybeans
13.7,38.4,706,5.69,17,59,17,433,18.4,23.4,True,kidneybeans
20.1,35.2,628,5.79,27,59,22,401,21.8,23.2,True,kidneybeans
15.9,39.1,819,5.75,28,58,24,538,19.7,18.3,True,kidneybeans
14.7,29.6,598,5.57,25,57,19,413,17.2,19.9,False,kidneybeans
17.9,40.5,771,5.81,28,80,17,469,19.6,18.7,True,kidneybeans
16.4,40.4,746,5.89,25,60,22,436,21.6,21.2,True,kidneybeans
12.7,35.2,618,6.0,12,78,23,369,16.1,18.7,False,kidneybeans
18.4,33.8,653,5.79,6,77,25,410,20.6,24.4,False,kidneybeans
18.2,36.0,724,5.91,22,79,17,459,21.4,20.4,True,kidneybeans
15.1,37.2,775,5.79,27,80,15,494,19.1,21.2,False,kidneybeans
17.1,43.9,685,5.73,10,55,23,419,21.2,19.6,True,kidneybeans
20.1,31.9,661,5.83,23,65,20,450,23.0,22.4,True,kidneybeans
18.4,34.6,717,5.97,19,78,16,442,20.7,23.1,False,kidneybeans
15.2,41.1,764,5.63,19,65,25,461,18.1,18.3,True,kidneybeans
16.5,24.2,639,5.52,22,70,19,379,18.2,21.1,False,kidneybeans
14.5,36.4,825,5.95,37,64,22,522,17.5,18.8,True,kidneybeans
17.5,36.3,718,5.75,11,71,17,470,19.9,21.5,False,kidneybeans
16.4,40.9,800,5.88,18,79,20,502,20.3,23.2,True,kidneybeans
13.7,41.9,710,5.98,21,63,17,478,15.8,19.2,True,kidneybeans
13.5,36.6,789,5.64,24,80,22,517,16.7,19.2,True,kidneybeans
13.4,43.4,801,5.64,34,60,22,516,17.7,18.2,True,kidneybeans
16.1,39.6,709,5.68,16,75,21,459,18.5,23.6,False,kidneybeans
19.7,30.5,727,5.67,17,77,23,474,24.5,20.8,False,kidneybeans
17.3,42.2,810,5.72,37,72,18,501,18.9,24.5,True,kidneybeans
18.7,31.2,717,5.81,40,73,20,452,21.6,20.3,False,kidneybeans
17.3,39.9,673,5.78,9,77,17,454,20.1,24.5,True,kidneybeans
13.4,35.8,725,5.61,1,62,23,474,15.4,18.4,True,kidneybeans
19.8,35.9,788,5.95,33,59,22,486,22.6,21.6,True,kidneybeans
18.6,37.4,797,5.85,23,59,19,520,22.0,24.9,True,kidneybeans
18.1,40.8,688,5.82,6,62,22,442,20.5,18.1,True,kidneybeans
13.5,39.2,721,5.5,25,63,20,448,15.8,21.1,True,kidneybeans
15.4,39.5,786,5.82,7,79,23,527,19.6,19.7,True,kidneybeans
17.8,31.2,697,5.71,8,72,17,424,20.6,19.8,False,kidneybeans
15.9,40.7,737,5.51,27,64,15,467,20.2,24.8,True,kidneybeans
18.1,43.0,836,6.0,28,66,23,533,21.5,24.3,True,kidneybeans
12.8,38.1,807,5.7,32,57,18,485,15.5,23.8,True,kidneybeans
17.1,39.1,659,5.83,27,56,22,420,19.9,20.7,True,kidneybeans
19.7,33.2,664,5.57,17,77,24,394,20.8,18.9,True,kidneybeans
21.9,34.0,596,5.65,0,65,15,362,23.5,23.2,True,kidneybeans
22.1,31.3,699,5.82,13,72,21,421,24.3,21.0,False,kidneybeans
17.0,42.0,795,5.66,34,60,23,477,20.1,25.0,True,kidneybeans
19.6,36.1,697,5.95,9,80,19,488,21.8,18.6,True,kidneybeans
17.3,37.1,728,5.95,11,72,20,454,19.5,24.9,True,kidneybeans
14.8,39.4,667,5.52,3,67,24,440,17.0,19.9,True,kidneybeans
13.1,35.6,866,5.58,35,69,23,544,16.8,25.0,False,kidneybeans
22.3,36.1,641,5.61,3,77,25,394,24.8,22.9,False,kidneybeans
12.3,34.3,628,5.61,23,62,19,427,16.5,20.5,True,kidneybeans
14.0,33.5,593,5.51,22,71,17,405,18.2,19.4,True,kidneybeans
19.9,34.6,750,5.9,31,79,25,463,23.2,22.3,False,kidneybeans
20.5,37.0,607,5.74,34,59,18,385,23.4,22.0,False,kidneybeans
16.1,43.3,706,5.72,12,63,17,492,18.4,19.4,True,kidneybeans
15.4,34.8,590,5.54,27,56,20,389,19.3,20.5,True,kidneybeans
19.3,33.0,692,5.86,7,63,24,446,23.0,24.0,True,kidneybeans
16.5,36.5,713,5.62,24,67,22,424,20.1,22.9,True,kidneybeans
17.7,42.7,781,5.61,11,71,24,504,21.1,22.7,True,kidneybeans
22.6,33.4,804,5.58,37,74,15,529,24.9,18.2,False,kidneybeans
11.5,40.4,843,5.57,25,76,24,502,15.3,24.9,True,kidneybeans
15.0,38.6,802,5.89,34,66,17,526,18.8,21.3,True,kidneybeans
17.9,38.5,702,5.93,20,69,15,437,23.4,22.8,True,kidneybeans
20.0,34.6,726,5.68,37,65,16,489,22.8,19.0,False,kidneybeans
22.4,39.8,821,5.71,18,74,15,521,24.9,22.3,True,kidneybeans
19.6,41.8,626,5.95,4,67,25,383,23.8,24.4,True,kidneybeans
20.1,42.1,760,5.77,37,56,25,470,22.1,19.6,True,kidneybeans
15.1,42.6,674,5.97,5,59,15,429,18.9,20.2,True,kidneybeans
14.1,41.9,653,5.53,11,61,21,435,18.6,23.0,True,kidneybeans
20.6,35.2,774,5.67,22,80,20,514,23.0,18.9,True,kidneybeans
15.5,37.8,701,5.66,12,61,19,431,19.3,24.1,False,kidneybeans
14.0,30.7,686,5.59,5,74,21,467,16.2,21.4,False,kidneybeans
14.1,35.6,714,5.93,27,69,22,491,17.9,24.9,False,kidneybeans
11.6,37.9,820,5.82,31,75,18,522,15.5,21.4,False,kidneybeans
